Date,N_Stocks,Allocation
2023-07-31,10,"OrderedDict({'BNP.PA': 0.02, 'CA.PA': 0.20428, 'EN.PA': 0.25, 'ERF.PA': 0.12468, 'GLE.PA': 0.25, 'ML.PA': 0.02, 'RNO.PA': 0.02, 'SAF.PA': 0.07103, 'SGO.PA': 0.02, 'STLAP.PA': 0.02})"
2023-08-31,0,{}
2023-09-29,0,{}
2023-10-31,0,{}
2023-11-30,17,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.02, 'CAP.PA': 0.02, 'DG.PA': 0.02, 'DSY.PA': 0.02, 'EN.PA': 0.10036, 'ENGI.PA': 0.25, 'ML.PA': 0.02, 'OR.PA': 0.02, 'ORA.PA': 0.25, 'PUB.PA': 0.02, 'SAF.PA': 0.06344, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.0962, 'SU.PA': 0.02, 'VIE.PA': 0.02})"
2023-12-29,10,"OrderedDict({'BNP.PA': 0.25, 'DSY.PA': 0.02, 'ERF.PA': 0.25, 'ML.PA': 0.03586, 'OR.PA': 0.11414, 'PUB.PA': 0.02, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'SU.PA': 0.25, 'VIV.PA': 0.02})"
2024-01-31,9,"OrderedDict({'CAP.PA': 0.02, 'CS.PA': 0.20449, 'DSY.PA': 0.02, 'MC.PA': 0.02, 'PUB.PA': 0.02, 'SAF.PA': 0.25, 'SU.PA': 0.19551, 'VIE.PA': 0.25, 'VIV.PA': 0.02})"
2024-02-29,13,"OrderedDict({'AI.PA': 0.15552, 'CAP.PA': 0.02, 'CS.PA': 0.12125, 'EL.PA': 0.02, 'EN.PA': 0.25, 'MC.PA': 0.02, 'ML.PA': 0.02, 'PUB.PA': 0.02, 'RMS.PA': 0.02, 'SAF.PA': 0.25, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'SU.PA': 0.06322})"
2024-03-29,17,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.02, 'ALO.PA': 0.02, 'BNP.PA': 0.02, 'CS.PA': 0.02, 'EL.PA': 0.02, 'EN.PA': 0.21294, 'ERF.PA': 0.06038, 'GLE.PA': 0.21668, 'HO.PA': 0.02, 'ML.PA': 0.02, 'PUB.PA': 0.02, 'RMS.PA': 0.02, 'RNO.PA': 0.02, 'SAF.PA': 0.02, 'STLAP.PA': 0.02, 'TTE.PA': 0.25})"
2024-04-30,6,"OrderedDict({'BNP.PA': 0.20889, 'ENGI.PA': 0.33333, 'ML.PA': 0.08444, 'SAN.PA': 0.02, 'SGO.PA': 0.02, 'TTE.PA': 0.33333})"
2024-05-31,8,"OrderedDict({'ALO.PA': 0.10306, 'BNP.PA': 0.08832, 'ENGI.PA': 0.25, 'GLE.PA': 0.25, 'ML.PA': 0.02, 'RNO.PA': 0.02, 'SGO.PA': 0.02, 'VIE.PA': 0.24862})"
2024-06-28,0,{}
2024-07-31,0,{}
2024-08-30,5,"OrderedDict({'CS.PA': 0.03942, 'ENGI.PA': 0.4, 'LR.PA': 0.39602, 'SAN.PA': 0.02, 'VIE.PA': 0.14456})"
2024-09-30,0,{}
2024-10-31,0,{}
2024-11-29,0,{}
2024-12-31,3,"{'RMS.PA': 0.3333333333333333, 'RNO.PA': 0.3333333333333333, 'WLN.PA': 0.3333333333333333}"
2025-01-31,16,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.02, 'BNP.PA': 0.02, 'CAP.PA': 0.02, 'CS.PA': 0.02, 'DSY.PA': 0.02, 'EL.PA': 0.02, 'EN.PA': 0.21301, 'FR.PA': 0.02, 'GLE.PA': 0.25, 'HO.PA': 0.02, 'ORA.PA': 0.25, 'RMS.PA': 0.02, 'RNO.PA': 0.02, 'SAF.PA': 0.04699, 'SAN.PA': 0.02})"
2025-02-28,11,"OrderedDict({'AI.PA': 0.02, 'BNP.PA': 0.02, 'DG.PA': 0.02, 'EL.PA': 0.02, 'EN.PA': 0.1158, 'ENGI.PA': 0.25, 'GLE.PA': 0.19967, 'HO.PA': 0.02, 'ORA.PA': 0.25, 'SAF.PA': 0.06453, 'VIE.PA': 0.02})"
2025-03-31,6,"OrderedDict({'EN.PA': 0.08194, 'ENGI.PA': 0.33333, 'HO.PA': 0.02, 'ORA.PA': 0.22723, 'TTE.PA': 0.3175, 'VIE.PA': 0.02})"
2025-04-30,9,"OrderedDict({'CS.PA': 0.02, 'DG.PA': 0.02, 'EN.PA': 0.12094, 'ENGI.PA': 0.25, 'ERF.PA': 0.09011, 'GLE.PA': 0.20895, 'OR.PA': 0.02, 'ORA.PA': 0.25, 'VIE.PA': 0.02})"
2025-05-30,11,"OrderedDict({'BNP.PA': 0.02, 'CS.PA': 0.02, 'ENGI.PA': 0.25, 'ERF.PA': 0.06736, 'GLE.PA': 0.1518, 'HO.PA': 0.02, 'LR.PA': 0.16084, 'ML.PA': 0.02, 'ORA.PA': 0.25, 'SAF.PA': 0.02, 'VIV.PA': 0.02})"
2025-06-30,6,"OrderedDict({'AIR.PA': 0.02, 'ENGI.PA': 0.33333, 'ERF.PA': 0.18875, 'LR.PA': 0.25397, 'SAF.PA': 0.05924, 'STMPA.PA': 0.14471})"
2025-07-31,7,"OrderedDict({'ERF.PA': 0.17109, 'GLE.PA': 0.28571, 'KER.PA': 0.16476, 'LR.PA': 0.28571, 'OR.PA': 0.02, 'SAF.PA': 0.05271, 'VIV.PA': 0.02})"
2025-08-29,0,{}
2025-09-30,6,"OrderedDict({'AIR.PA': 0.02, 'ATO.PA': 0.02, 'HO.PA': 0.02, 'KER.PA': 0.29109, 'LR.PA': 0.33333, 'SAF.PA': 0.31558})"
2025-10-31,6,"OrderedDict({'AIR.PA': 0.14111, 'EL.PA': 0.02, 'ENGI.PA': 0.33333, 'FR.PA': 0.15222, 'LR.PA': 0.33333, 'MC.PA': 0.02})"
2025-11-28,5,"OrderedDict({'EN.PA': 0.10034, 'ENGI.PA': 0.34661, 'GLE.PA': 0.18662, 'MC.PA': 0.02, 'TTE.PA': 0.34643})"
2025-12-31,9,"OrderedDict({'ALO.PA': 0.02, 'BNP.PA': 0.02, 'CA.PA': 0.14851, 'CS.PA': 0.02, 'EN.PA': 0.21387, 'ENGI.PA': 0.25, 'ERF.PA': 0.08635, 'GLE.PA': 0.22127, 'MC.PA': 0.02})"
2026-01-30,7,"OrderedDict({'BNP.PA': 0.02, 'ENGI.PA': 0.27352, 'GLE.PA': 0.14679, 'ML.PA': 0.02, 'ORA.PA': 0.23398, 'TTE.PA': 0.28571, 'VIE.PA': 0.02})"
2026-02-27,14,"OrderedDict({'AI.PA': 0.02, 'BNP.PA': 0.02, 'CA.PA': 0.02, 'CS.PA': 0.02, 'DG.PA': 0.02, 'EN.PA': 0.02, 'ENGI.PA': 0.24363, 'LR.PA': 0.07194, 'ML.PA': 0.02, 'ORA.PA': 0.21139, 'STMPA.PA': 0.06567, 'SU.PA': 0.02, 'TTE.PA': 0.22736, 'VIE.PA': 0.02})"
2026-03-31,0,{}
